"state_code","source","name","ward_code","category","subtype","management","education","poi_type","global_id","id","no_of_teachers","no_of_students","Geometry"
"LA","GRID","Dof Institute Of Catering And Hotel Management","LASIOE08","Tertiary","Standard","Private","Formal","School","58ab58ad-7292-43d1-bd8b-87ce40fc94ab","u_fc_poi_school.37080",,,"POINT (3.28552 6.67168)"
"IM","NMIS","Women Education Centre","IMSAFR11","Tertiary","Adult Education","Public","Formal","School","58c0dac0-6c04-41c7-9fdc-8ae798b81689","u_fc_poi_school.37116",,,"POINT (7.270523 5.547857)"
"AN","NMIS","Onitsha South MKT School","ANSFGG01","Tertiary","Adult Education","Private","Formal","School","59112803-3761-40ad-b46b-5cff22c10b10","u_fc_poi_school.37238",,,"POINT (6.773275 6.132769)"
"IM","Proxy Logistics","Federal College of Land Resources Technology","IMSEBM12","Tertiary","Adult Education","Federal Government","Formal","School","5938ab1d-8f6e-40ec-8ef1-6ae9075c289e","u_fc_poi_school.37312",,,"POINT (6.9128711 5.4375599)"
"CR","GRID","Favour School Of Health Technology Ikom","CRSKMM03","Tertiary","Standard","Private","Formal","School","593ac533-3c76-4589-a984-25945a07e649","u_fc_poi_school.37317","35","450","POINT (8.73747 5.9595883)"
"EK","GRID","Gods Promise Model Group Of Schools","EKSGBN04","Tertiary","Standard","Private","Formal","School","59f48929-0088-4337-aff6-151efc7a5fe0","u_fc_poi_school.37605","13","150","POINT (5.6020267 7.6004483)"
"PL","OSGOF","College Of Education Sabon Barki","PLSMGU06","Tertiary","Standard","Public","Formal","School","59f794cc-966c-48c1-b6af-6d274c3172c7","u_fc_poi_school.37610",,,"POINT (9.19862 9.56973)"
"EN","GRID","State Veterinary School","ENSJRV08","Tertiary","Adult Education","Public","Formal","School","5a073685-1dca-41cc-86a0-9af33d5a6c8c","u_fc_poi_school.37640",,,"POINT (7.409295 6.13655)"
"GO","GRID","Lakweme School","GMSKLT04","Tertiary","Standard","Public","Formal","School","5a150d33-f43e-4147-9b1e-05e344b1328c","u_fc_poi_school.37659",,,"POINT (11.4102583 9.7181567)"
"OS","NMIS","Government Technical College","OSSIWO03","Tertiary","Adult Education","Public","Formal","School","5acb7230-f1b4-4310-8366-4e251e7d32da","u_fc_poi_school.37955",,,"POINT (4.14814 7.626595)"
"ON","OSGOF","Federal University Of Technology Akure","ODSIDE06","Tertiary","University","Public","Formal","School","5ad578d7-c7ad-444d-8e62-6af9beed9310","u_fc_poi_school.37973",,,"POINT (5.14964 7.29342)"
"ZA","OSGOF","School Of Agriculture Gamji Gamji","80207","Tertiary","Adult Education","Public","Formal","School","5af89251-2e58-455a-99cb-ff73a87c40c4","u_fc_poi_school.38025",,,"POINT (5.88289 12.65108)"
"CR","GRID","University Of Calabar","CRSANA03","Tertiary","University","Public","Formal","School","5bc7dbde-2cda-4ef6-a80f-9c250e37f961","u_fc_poi_school.38374","5500","102220","POINT (8.344 4.9519883)"
"EK","GRID","Brainiacs International School","EKSADO12","Tertiary","Standard","Private","Formal","School","5bd654c8-f7b9-46c1-81ed-b313815e36d8","u_fc_poi_school.38398",,,"POINT (5.2366767 7.668285)"
"EK","GRID","Bezaleel Excellent School","EKSEWT03","Tertiary","Standard","Private","Formal","School","5bdd2c49-7685-475d-83b0-457d50bbaefe","u_fc_poi_school.38411","15","150","POINT (5.0109117 7.6093083)"
"NI","OSGOF","Government Teachers College Etisheshi","NISMKW08","Tertiary","Standard","Public","Formal","School","5c038414-3e1d-4645-adc3-2b7806351d4e","u_fc_poi_school.38457",,,"POINT (5.06641 9.29842)"
"DE","NMIS","Science Prepartory Centre","DTSWWR04","Tertiary","Standard","Private","Formal","School","5ccb0171-ae5e-4ab9-a808-730de941a1f3","u_fc_poi_school.38796",,,"POINT (5.759802 5.534263)"
"BE","NMIS","Government Science and Technical College Garagboghol","BNSBKB13","Tertiary","Adult Education","Public","Formal","School","5d4a254d-4182-4126-87da-c2ad60b63db7","u_fc_poi_school.39011",,,"POINT (9.187175 7.268356)"
"AB","OSGOF","Abia State University Uturu","ABSMBL17","Tertiary","University","Public","Formal","School","5daa8e87-bff4-4513-b2de-99d9861dd897","u_fc_poi_school.39185",,,"POINT (7.39361 5.82965)"
